Numero esterno;Abbreviazione;Denominazione;Coordinata x;Coordinata y;Coordinate-Z;Pensilina autobus;Fermata di salita;Fermata di discesa;Accessibile ai disabili;Punto di cambio;Cambio direzione obbligatorio;Non controllato;Ambito d'esercizio;Gruppo tipol. veicolo;Comune;Codice del comune;Proprietario;Via;Numero civico;Tipologia fermate;Abbreviazione area di fermata;Denominazione area di fermata;Abbreviazione punto di prevendita;Denominazione punto di prevendita;Testo punti di prevendita;Abbreviazione informazioni aggiuntive;Denominazione informazioni aggiuntive;Abbreviazione area tariffaria;Denominazione area tariffaria;Codice tariffario;Tipo Pensilina;Piazzola;Di Servizio;Tipo Palina;fTariffario;fOrario
805;805;via Virgilio 1 - Vergil Str. 1;1666304,81;5171061,97;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;VIGIL1;(Merano) via Virgilio 1 - (Meran) Vergil Str. 1;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;25
806;806;via Zuegg 2 - Zueggstr. 2;1664357,876;5170096,685;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;ZUEGG2;(Merano) via Zuegg 2 - (Meran) Zuegg Str. 2;;;;;;1;Tutto;1;Dach neu;HINFAHRT;1;0;0;806
807;807;via Laurin 2 - Laurin Str. 2;1664295,626;5171699,512;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;LAURI2;(Merano) via Laurin 2 - (Meran) Laurin Str. 2;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2760
808;808;via Schaffer 1 - Schafferstr. 1;1665891,453;5170217,009;;;X;X;;;;X;BUS;S;Merano - Meran;39021051;;;;;SCHAF1;(Merano) via Schaffer 1 - (Meran) Schafferstr. 1;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;8
809;809;via Monte Cervina - Hirzerstr.;1665640,55;5164143,392;;;X;X;;;;X;BUS;S;Lana - Lana;39021041;;;;;M CERV;(Lana) via Monte Cervina - (Lana) Hirzerstr.;;;;;;1;Tutto;1;Steher;RUECKFAHRT;1;0;0;2532
810;810;via Bolzano 2 - Boznerstr. 2;1665965,106;5164145,032;;;X;X;;;;X;BUS;S;Lana - Lana;39021041;;;;;BZ 2;(Lana) via Bolzano 2 - (Lana) Boznerstr. 2;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2518
811;811;via Bolzano 1 - Boznerstr. 1;1665563,409;5164377,884;;;X;X;;;;X;BUS;S;Lana - Lana;39021041;;;;;BZ 1;(Lana) via Bolzano 1 - (Lana) Boznerstr. 1;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2517
812;812;piazza Tribus - Tribusplatz;1665222,556;5164483,553;;;X;X;;;;X;BUS;S;Lana - Lana;39021041;;;;;TRIBUS;(Lana) piazzaTribus - (Lana) Tribusplatz;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2516
815;815;Lana zona Ind. 1 - Lana Industriezone 1;1666292,554;5166292,524;;;X;X;;X;;X;BUS;S;Lana - Lana;39021041;;;;;ZIND1;(Lana) Z.Industriale1 - (Lana) Industriez. 1;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2567
817;817;Lana zona Ind. 2 - Lana Industriezone 2;1666085,364;5166411,503;;;X;X;;;;X;BUS;S;Lana - Lana;39021041;;;;;ZIND2;(Lana) Z.Industriale 2 - (Lana) Industriez. 2;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2568
818;818;Lana zona Ind. 3 - Lana Industriezone 3;1665856,948;5166341,643;;;X;X;;;;X;BUS;S;Lana - Lana;39021041;;;;;ZIND3;(Lana) Z.Industriale 3 - (Lana) Industriez. 3;;;;;;1;Tutto;1;Steher;HINFAHRT;1;0;0;2569
819;819;via Weingartner 2 - Weingartnerstr. 2;1663003,187;5171770,273;;;X;X;;;;X;BUS;S;Lagundo - Algund;39021038;;;;;WEING2;(Lagundo) via Weingartner 2 - (Algund) Weingartnerstr. 2;;;;;;1;Tutto;1;Schutzdach alt;RUECKFAHRT;1;0;0;2607
